bus_id2,bus_id,name,vn_kv,geodata
0,0,Ibiza (+ Formentura),132,"(1.430833, 38.91917)"
1l,1,Santa Ponca (132),132,"(2.487414, 39.548337)"
1h,2,Santa Ponca (220),220,"(2.507937, 39.53662)"
2,3,Valldurgent,220,"(2.549167, 39.58417)"
3,4,Son Reus,220,"(2.678889, 39.65083)"
4h,5,Portol (Cas Tresorer) (220),220,"(2.724617, 39.56686)"
5,6,Son Orlandis,220,"(2.744444, 39.60028)"
6,7,Llubi,220,"(3.039444,39.67333)"
7,8,Murterar,220,"(3.0925, 39.80944)"
8h,9,Es Bessons (220),220,"(3.178098, 39.569970)"
8l,10,Es Bessons (132),132,"(3.159638, 39.58209)"
9,11,Cala Mesquida,132,"(3.427024, 39.73827)"
10,12,Cala en Bosch,132,"(3.834227, 39.93175)"
11,13,Cuitadella,132,"(3.855278, 40.00333)"
12,14,Es Mercadal,132,"(4.095556, 39.97694)"
13,15,Dragonera,132,"(4.236667, 39.89111)"
14,16,Mao,132,"(4.258155, 39.89706)"
4l,5.1,Portol (Cas Tresorer) (66),66,"(2.705934, 39.570336) "