from_bus,to_bus,length_km,cable_type,bundle_no,Dm,A,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,max_i_ka,cables,voltage,location
0,1,126,Biggest,N/A,N/A,500,0.053,0.11932,1.70E+00,0.545,1,132,underwater
2,3,5.599701026,Raven,2,11,53.48,0.2685,0.352771761,1.00E+00,0.255,6,220,overhead
3,4,15.0251435,Penguin,2,11,125.09,0.1485,0.339424694,1.00E+00,0.39,3,220,overhead
3,4,14.89767194,Penguin,2,11,125.09,0.1485,0.339424694,1.00E+00,0.39,3,220,overhead
4,6,9.417887811,Swan,2,11,21.2,0.675,0.367306013,1.00E+00,0.145,3,220,overhead
4,7,33.83044957,Sparrow,2,11,33.6,0.4265,0.360072319,1.00E+00,0.185,3,220,overhead
6,5,4.357733029,Dove,2,11,282,0.05165,0.326656482,1.00E+00,0.79,3,220,overhead
6,7,28.90620588,Raven,2,11,53.48,0.2685,0.352771761,1.00E+00,0.255,3,220,overhead
7,8,16.77022419,Pelican,2,11,242.3,0.06085,0.329085232,1.00E+00,0.7,3,220,overhead
7,8,16.06356958,Pelican,2,11,242.3,0.06085,0.329085232,1.00E+00,0.7,3,220,overhead
7,9,15.17717666,Brant,2,11,201.6,0.0725,0.331928257,1.00E+00,0.63,3,220,overhead
7,9,14.95413245,Brant,2,11,201.6,0.0725,0.331928257,1.00E+00,0.63,3,220,overhead
10,11,30.27638553,Stilt,2,8.75,363,0.0407,0.306491002,1.00E+00,0.92,3,132,overhead
11,12,52.942,Biggest,N/A,N/A,500,0.053,0.11932,1.70E+00,0.545,1,132,underwater
12,13,8.201424711,Waxwing,2,8.75,135,0.1085,0.322027731,1.00E+00,0.48,3,132,overhead
13,15,35.54556277,Pigeon,2,8.75,85.12,0.1693,0.32927223,1.00E+00,0.34,3,132,overhead
13,14,21.13216069,Pigeon,2,8.75,85.12,0.1693,0.32927223,1.00E+00,0.34,3,132,overhead
14,15,15.43937444,Waxwing,2,8.75,135,0.1085,0.322027731,1.00E+00,0.48,3,132,overhead
15,16,4.712656534,Stilt,2,8.75,363,0.0407,0.306491002,1.00E+00,0.92,3,132,overhead